,round_epochs,val_loss,val_mean_squared_error,val_custom_metric,loss,mean_squared_error,custom_metric,activation1,batch_size,dense_neuron,district_neuron,epochs,kernel_initializer,l1,l2,losses,optimizer
24,57,0.139739,0.0553,-0.0553,0.138944,0.023963,-0.023963,relu,4,20,8,300,orthogonal,2,2,<function custom_loss at 0x7fa372758488>,Nadam
39,22,0.245696,0.069508,-0.069508,0.451094,0.073386,-0.073386,relu,6,20,8,300,ones,2,2,<function custom_loss at 0x7fa372758488>,sgd
11,20,0.083625,0.083625,-0.083625,0.03443,0.03443,-0.03443,relu,2,40,16,300,normal,1,1,mean_squared_error,Nadam
14,19,0.207503,0.083817,-0.083817,0.388569,0.072989,-0.072989,elu,4,50,8,300,normal,2,2,<function custom_loss at 0x7fa372758488>,Nadam
47,90,0.091382,0.091382,-0.091382,0.03396,0.03396,-0.03396,elu,6,30,32,300,ones,1,1,mean_squared_error,sgd
21,26,0.091949,0.091949,-0.091949,0.028006,0.028006,-0.028006,elu,1,50,24,300,orthogonal,1,1,mean_squared_error,Nadam
6,25,0.096219,0.096219,-0.096219,0.027153,0.027153,-0.027153,elu,2,100,24,300,normal,1,1,mean_squared_error,Nadam
44,61,0.098178,0.098178,-0.098178,0.056244,0.056244,-0.056244,relu,6,50,32,300,ones,2,2,mean_squared_error,sgd
41,29,0.104889,0.104889,-0.104889,0.035231,0.035231,-0.035231,relu,1,20,8,300,normal,1,2,mean_squared_error,Nadam
5,58,0.442576,0.109225,-0.109225,0.254888,0.041159,-0.041159,elu,7,20,24,300,ones,1,2,<function custom_loss at 0x7fa372758488>,Nadam
15,31,0.111057,0.111057,-0.111057,0.02876,0.02876,-0.02876,relu,6,50,32,300,normal,1,2,mean_squared_error,Nadam
43,47,0.417205,0.116907,-0.116907,0.275836,0.046123,-0.046123,sigmoid,5,40,32,300,orthogonal,1,1,<function custom_loss at 0x7fa372758488>,Nadam
1,36,0.389521,0.131309,-0.131309,0.478307,0.086584,-0.086584,relu,7,100,8,300,ones,2,2,<function custom_loss at 0x7fa372758488>,Nadam
26,59,0.376469,0.132082,-0.132082,0.165258,0.032364,-0.032364,sigmoid,4,200,24,300,uniform,1,1,<function custom_loss at 0x7fa372758488>,Nadam
31,36,0.133617,0.133617,-0.133617,0.128184,0.128184,-0.128184,relu,7,20,24,300,ones,2,1,mean_squared_error,sgd
2,50,0.135665,0.135665,-0.135665,0.034879,0.034879,-0.034879,relu,4,200,8,300,ones,1,2,mean_squared_error,Nadam
37,24,0.135852,0.135852,-0.135852,0.02896,0.02896,-0.02896,relu,6,200,8,300,ones,1,1,mean_squared_error,Nadam
19,22,0.140028,0.140028,-0.140028,0.03004,0.03004,-0.03004,relu,3,100,24,300,uniform,1,1,mean_squared_error,Nadam
28,20,0.142066,0.142066,-0.142066,0.030056,0.030056,-0.030056,elu,3,200,32,300,normal,1,1,mean_squared_error,Nadam
49,40,0.143135,0.143135,-0.143135,0.036504,0.036504,-0.036504,sigmoid,6,30,8,300,zeros,2,2,mean_squared_error,Nadam
25,56,0.308384,0.144843,-0.144843,0.108225,0.027326,-0.027326,sigmoid,3,50,32,300,normal,2,1,<function custom_loss at 0x7fa372758488>,Nadam
46,41,0.156334,0.156334,-0.156334,0.021106,0.021106,-0.021106,relu,5,200,24,300,ones,1,2,mean_squared_error,Nadam
30,29,0.157505,0.157505,-0.157505,0.040514,0.040514,-0.040514,sigmoid,1,30,16,300,uniform,1,1,<function custom_loss at 0x7fa372758488>,Nadam
10,34,0.520859,0.158637,-0.158637,0.355665,0.067653,-0.067653,sigmoid,5,30,24,300,zeros,2,1,<function custom_loss at 0x7fa372758488>,Nadam
4,30,0.409654,0.165392,-0.165392,0.411157,0.059909,-0.059909,elu,7,30,8,300,ones,2,1,<function custom_loss at 0x7fa372758488>,Nadam
48,21,0.387516,0.175279,-0.175279,0.427475,0.080031,-0.080031,relu,4,100,16,300,ones,2,2,<function custom_loss at 0x7fa372758488>,Nadam
8,58,0.346959,0.346959,-0.346959,0.018427,0.018427,-0.018427,sigmoid,7,100,8,300,orthogonal,1,1,mean_squared_error,Nadam
38,35,0.38913,0.38913,-0.38913,0.05024,0.05024,-0.05024,elu,1,50,8,300,normal,1,2,<function custom_loss at 0x7fa372758488>,sgd
40,25,0.537809,0.537809,-0.537809,0.176761,0.176761,-0.176761,relu,1,40,16,300,ones,2,2,<function custom_loss at 0x7fa372758488>,sgd
23,12,2.178516,1.167985,-1.167985,5.330429,0.835066,-0.835066,sigmoid,7,40,32,300,zeros,2,1,<function custom_loss at 0x7fa372758488>,sgd
12,12,1.332958,1.198818,-1.198818,4.61545,0.830083,-0.830083,sigmoid,4,100,24,300,zeros,1,1,<function custom_loss at 0x7fa372758488>,sgd
22,14,1.220468,1.220468,-1.220468,0.460457,0.460457,-0.460457,sigmoid,1,200,32,300,normal,2,2,mean_squared_error,sgd
34,11,1.227542,1.227542,-1.227542,0.701754,0.701754,-0.701754,sigmoid,7,200,32,300,zeros,1,1,mean_squared_error,sgd
9,14,1.258712,1.258712,-1.258712,0.840596,0.840596,-0.840596,elu,8,20,8,300,uniform,1,2,mean_squared_error,sgd
42,12,1.269437,1.269437,-1.269437,0.669937,0.669937,-0.669937,sigmoid,2,40,24,300,orthogonal,2,1,mean_squared_error,sgd
45,17,1.306292,1.306292,-1.306292,0.694408,0.694408,-0.694408,relu,4,30,8,300,zeros,2,1,mean_squared_error,sgd
0,13,1.93619,1.365316,-1.365316,2.836186,0.684069,-0.684069,relu,3,100,24,300,uniform,1,1,<function custom_loss at 0x7fa372758488>,Nadam
27,11,1.411327,1.411327,-1.411327,0.743669,0.743669,-0.743669,sigmoid,4,50,8,300,zeros,2,1,mean_squared_error,sgd
18,12,1.429506,1.429506,-1.429506,0.779807,0.779807,-0.779807,elu,6,20,32,300,normal,1,2,mean_squared_error,sgd
13,13,1.484665,1.484665,-1.484665,0.523292,0.523292,-0.523292,sigmoid,1,100,16,300,zeros,2,2,mean_squared_error,sgd
17,13,1.485078,1.485078,-1.485078,0.64402,0.64402,-0.64402,sigmoid,2,40,8,300,normal,1,1,mean_squared_error,sgd
29,11,1.50292,1.50292,-1.50292,0.682146,0.682146,-0.682146,relu,1,50,32,300,zeros,1,2,<function custom_loss at 0x7fa372758488>,sgd
16,11,1.722728,1.509047,-1.509047,1.19824,0.633794,-0.633794,elu,2,200,32,300,zeros,2,2,<function custom_loss at 0x7fa372758488>,sgd
36,11,1.532025,1.532025,-1.532025,0.629171,0.629171,-0.629171,relu,4,20,24,300,zeros,2,2,mean_squared_error,Nadam
33,13,5.123203,1.612454,-1.612454,4.830714,0.68192,-0.68192,sigmoid,7,200,16,300,orthogonal,2,1,<function custom_loss at 0x7fa372758488>,sgd
20,11,2.656272,1.646416,-1.646416,5.80354,0.826136,-0.826136,sigmoid,8,200,32,300,zeros,1,2,<function custom_loss at 0x7fa372758488>,sgd
7,21,1.655471,1.655471,-1.655471,0.626987,0.626987,-0.626987,sigmoid,6,30,24,300,zeros,1,1,mean_squared_error,sgd
35,13,2.787685,1.826818,-1.826818,2.546208,0.605086,-0.605086,elu,3,50,8,300,zeros,2,2,<function custom_loss at 0x7fa372758488>,Nadam
3,10,NaN,NaN,NaN,NaN,NaN,NaN,relu,7,40,16,300,ones,2,2,<function custom_loss at 0x7fa372758488>,sgd
32,10,NaN,NaN,NaN,NaN,NaN,NaN,elu,7,200,8,300,ones,2,1,<function custom_loss at 0x7fa372758488>,sgd
 ,,,,,,,,,,,,,,,,,
